abs_seq,start,end,duration,delay,block,block_seq,exec_time
0,2019-12-02 22:37:28.290000+00:00,2019-12-02 22:37:34.158000+00:00,0 days 00:00:05.868000,0 days 00:00:00,0,0,0 days 00:00:05.320000
1,2019-12-02 22:37:34.158000+00:00,2019-12-02 22:37:42.121000+00:00,0 days 00:00:07.963000,0 days 00:00:01.650000,1,0,0 days 00:00:07.423000
2,2019-12-02 22:37:42.121000+00:00,2019-12-02 22:37:50.411000+00:00,0 days 00:00:08.290000,0 days 00:00:01.650000,1,1,0 days 00:00:06.395000
3,2019-12-02 22:37:50.411000+00:00,2019-12-02 22:37:58.703000+00:00,0 days 00:00:08.292000,0 days 00:00:01.650000,1,2,0 days 00:00:05.657000
4,2019-12-02 22:37:58.703000+00:00,2019-12-02 22:38:05.343000+00:00,0 days 00:00:06.640000,0 days 00:00:01.650000,1,3,0 days 00:00:03.594000
5,2019-12-02 22:38:05.343000+00:00,2019-12-02 22:38:15.256000+00:00,0 days 00:00:09.913000,0 days 00:00:02.175000,2,0,0 days 00:00:07.550000
6,2019-12-02 22:38:15.256000+00:00,2019-12-02 22:38:28.348000+00:00,0 days 00:00:13.092000,0 days 00:00:02.175000,2,1,0 days 00:00:09.493000
7,2019-12-02 22:38:28.348000+00:00,2019-12-02 22:38:41.436000+00:00,0 days 00:00:13.088000,0 days 00:00:02.175000,2,2,0 days 00:00:10.787000
8,2019-12-02 22:38:41.436000+00:00,2019-12-02 22:38:47.996000+00:00,0 days 00:00:06.560000,0 days 00:00:02.175000,2,3,0 days 00:00:03.539000
9,2019-12-02 22:38:47.996000+00:00,2019-12-02 22:38:58.884000+00:00,0 days 00:00:10.888000,0 days 00:00:02.175000,2,4,0 days 00:00:07.880000
10,2019-12-02 22:38:58.884000+00:00,2019-12-02 22:39:09.800000+00:00,0 days 00:00:10.916000,0 days 00:00:02.175000,2,5,0 days 00:00:07.965000
11,2019-12-02 22:39:09.800000+00:00,2019-12-02 22:39:20.716000+00:00,0 days 00:00:10.916000,0 days 00:00:02.175000,2,6,0 days 00:00:07.202000
12,2019-12-02 22:39:20.716000+00:00,2019-12-02 22:39:29.452000+00:00,0 days 00:00:08.736000,0 days 00:00:02.175000,2,7,0 days 00:00:05.830000
13,2019-12-02 22:39:29.452000+00:00,2019-12-02 22:39:36.012000+00:00,0 days 00:00:06.560000,0 days 00:00:02.175000,2,8,0 days 00:00:04.203000
14,2019-12-02 22:39:36.012000+00:00,2019-12-02 22:39:42.544000+00:00,0 days 00:00:06.532000,0 days 00:00:02.175000,2,9,0 days 00:00:03.342000
15,2019-12-02 22:39:42.544000+00:00,2019-12-02 22:39:49.076000+00:00,0 days 00:00:06.532000,0 days 00:00:02.175000,2,10,0 days 00:00:02.525000
16,2019-12-02 22:39:49.076000+00:00,2019-12-02 22:39:55.608000+00:00,0 days 00:00:06.532000,0 days 00:00:02.175000,2,11,0 days 00:00:04.335000
17,2019-12-02 22:39:55.608000+00:00,2019-12-02 22:40:04.317000+00:00,0 days 00:00:08.709000,0 days 00:00:01.650000,3,0,0 days 00:00:05.561000
18,2019-12-02 22:40:04.317000+00:00,2019-12-02 22:40:15.911000+00:00,0 days 00:00:11.594000,0 days 00:00:01.650000,3,1,0 days 00:00:08.450000
19,2019-12-02 22:40:15.911000+00:00,2019-12-02 22:40:22.553000+00:00,0 days 00:00:06.642000,0 days 00:00:01.650000,3,2,0 days 00:00:03.434000
20,2019-12-02 22:40:22.553000+00:00,2019-12-02 22:40:27.510000+00:00,0 days 00:00:04.957000,0 days 00:00:01.650000,3,3,0 days 00:00:02.330000
21,2019-12-02 22:40:27.510000+00:00,2019-12-02 22:40:35.771000+00:00,0 days 00:00:08.261000,0 days 00:00:01.650000,3,4,0 days 00:00:05.374000
22,2019-12-02 22:40:35.771000+00:00,2019-12-02 22:40:40.755000+00:00,0 days 00:00:04.984000,0 days 00:00:01.650000,3,5,0 days 00:00:02.612000
23,2019-12-02 22:40:40.755000+00:00,2019-12-02 22:40:49.015000+00:00,0 days 00:00:08.260000,0 days 00:00:01.650000,3,6,0 days 00:00:05.015000
24,2019-12-02 22:40:49.015000+00:00,2019-12-02 22:40:58.952000+00:00,0 days 00:00:09.937000,0 days 00:00:01.650000,3,7,0 days 00:00:07.163000
25,2019-12-02 22:40:58.952000+00:00,2019-12-02 22:41:05.590000+00:00,0 days 00:00:06.638000,0 days 00:00:01.650000,3,8,0 days 00:00:04.407000
26,2019-12-02 22:41:05.590000+00:00,2019-12-02 22:41:13.853000+00:00,0 days 00:00:08.263000,0 days 00:00:01.650000,3,9,0 days 00:00:05.981000
27,2019-12-02 22:41:13.853000+00:00,2019-12-02 22:41:18.835000+00:00,0 days 00:00:04.982000,0 days 00:00:01.650000,3,10,0 days 00:00:01.983000
28,2019-12-02 22:41:18.835000+00:00,2019-12-02 22:41:23.793000+00:00,0 days 00:00:04.958000,0 days 00:00:01.650000,3,11,0 days 00:00:02.268000
29,2019-12-02 22:41:23.793000+00:00,2019-12-02 22:41:30.402000+00:00,0 days 00:00:06.609000,0 days 00:00:01.125000,4,0,0 days 00:00:04.169000
30,2019-12-02 22:41:30.402000+00:00,2019-12-02 22:41:38.288000+00:00,0 days 00:00:07.886000,0 days 00:00:01.125000,4,1,0 days 00:00:05.674000
31,2019-12-02 22:41:38.288000+00:00,2019-12-02 22:41:47.326000+00:00,0 days 00:00:09.038000,0 days 00:00:01.125000,4,2,0 days 00:00:07.589000
32,2019-12-02 22:41:47.326000+00:00,2019-12-02 22:41:57.497000+00:00,0 days 00:00:10.171000,0 days 00:00:01.125000,4,3,0 days 00:00:08.437000
33,2019-12-02 22:41:57.497000+00:00,2019-12-02 22:42:05.412000+00:00,0 days 00:00:07.915000,0 days 00:00:01.125000,4,4,0 days 00:00:06.322000
34,2019-12-02 22:42:05.412000+00:00,2019-12-02 22:42:11.077000+00:00,0 days 00:00:05.665000,0 days 00:00:01.125000,4,5,0 days 00:00:04.422000
35,2019-12-02 22:42:11.077000+00:00,2019-12-02 22:42:17.834000+00:00,0 days 00:00:06.757000,0 days 00:00:01.125000,4,6,0 days 00:00:05.091000
36,2019-12-02 22:42:17.834000+00:00,2019-12-02 22:42:23.470000+00:00,0 days 00:00:05.636000,0 days 00:00:01.125000,4,7,0 days 00:00:04.483000
37,2019-12-02 22:42:23.470000+00:00,2019-12-02 22:42:29.102000+00:00,0 days 00:00:05.632000,0 days 00:00:01.125000,4,8,0 days 00:00:03.615000
38,2019-12-02 22:42:29.102000+00:00,2019-12-02 22:42:35.862000+00:00,0 days 00:00:06.760000,0 days 00:00:01.125000,4,9,0 days 00:00:04.784000
39,2019-12-02 22:42:35.862000+00:00,2019-12-02 22:42:41.496000+00:00,0 days 00:00:05.634000,0 days 00:00:01.125000,4,10,0 days 00:00:04.195000
40,2019-12-02 22:42:41.496000+00:00,2019-12-02 22:42:44.877000+00:00,0 days 00:00:03.381000,0 days 00:00:01.125000,4,11,0 days 00:00:02.170000
41,2019-12-02 22:42:44.877000+00:00,2019-12-02 22:42:53.887000+00:00,0 days 00:00:09.010000,0 days 00:00:02.175000,5,0,0 days 00:00:07.162000
42,2019-12-02 22:42:53.887000+00:00,2019-12-02 22:43:00.450000+00:00,0 days 00:00:06.563000,0 days 00:00:02.175000,5,1,0 days 00:00:03.735000
43,2019-12-02 22:43:00.450000+00:00,2019-12-02 22:43:09.160000+00:00,0 days 00:00:08.710000,0 days 00:00:02.175000,5,2,0 days 00:00:04.623000
44,2019-12-02 22:43:09.160000+00:00,2019-12-02 22:43:17.900000+00:00,0 days 00:00:08.740000,0 days 00:00:02.175000,5,3,0 days 00:00:04.848000
45,2019-12-02 22:43:17.900000+00:00,2019-12-02 22:43:26.642000+00:00,0 days 00:00:08.742000,0 days 00:00:02.175000,5,4,0 days 00:00:05.825000
46,2019-12-02 22:43:26.642000+00:00,2019-12-02 22:43:35.384000+00:00,0 days 00:00:08.742000,0 days 00:00:02.175000,5,5,0 days 00:00:06.040000
47,2019-12-02 22:43:35.384000+00:00,2019-12-02 22:43:41.946000+00:00,0 days 00:00:06.562000,0 days 00:00:02.175000,5,6,0 days 00:00:03.109000
48,2019-12-02 22:43:41.946000+00:00,2019-12-02 22:43:50.655000+00:00,0 days 00:00:08.709000,0 days 00:00:02.175000,5,7,0 days 00:00:04.719000
49,2019-12-02 22:43:50.655000+00:00,2019-12-02 22:43:59.392000+00:00,0 days 00:00:08.737000,0 days 00:00:00.600000,6,0,0 days 00:00:04.491000
50,2019-12-02 22:43:59.392000+00:00,2019-12-02 22:44:04.230000+00:00,0 days 00:00:04.838000,0 days 00:00:00.600000,6,1,0 days 00:00:03.801000
51,2019-12-02 22:44:04.230000+00:00,2019-12-02 22:44:12.041000+00:00,0 days 00:00:07.811000,0 days 00:00:00.600000,6,2,0 days 00:00:07.025000
52,2019-12-02 22:44:12.041000+00:00,2019-12-02 22:44:18.679000+00:00,0 days 00:00:06.638000,0 days 00:00:00.600000,6,3,0 days 00:00:05.664000
53,2019-12-02 22:44:18.679000+00:00,2019-12-02 22:44:31.300000+00:00,0 days 00:00:12.621000,0 days 00:00:00.600000,6,4,0 days 00:00:11.990000
54,2019-12-02 22:44:31.300000+00:00,2019-12-02 22:44:36.738000+00:00,0 days 00:00:05.438000,0 days 00:00:00.600000,6,5,0 days 00:00:04.238000
55,2019-12-02 22:44:36.738000+00:00,2019-12-02 22:44:41.548000+00:00,0 days 00:00:04.810000,0 days 00:00:00.600000,6,6,0 days 00:00:03.887000
56,2019-12-02 22:44:41.548000+00:00,2019-12-02 22:44:44.555000+00:00,0 days 00:00:03.007000,0 days 00:00:00.600000,6,7,0 days 00:00:02.012000
57,2019-12-02 22:44:44.555000+00:00,2019-12-02 22:44:49.964000+00:00,0 days 00:00:05.409000,0 days 00:00:03,7,0,0 days 00:00:04.656000
58,2019-12-02 22:44:49.964000+00:00,2019-12-02 22:44:58.972000+00:00,0 days 00:00:09.008000,0 days 00:00:03,7,1,0 days 00:00:05.201000
59,2019-12-02 22:44:58.972000+00:00,2019-12-02 22:45:11.011000+00:00,0 days 00:00:12.039000,0 days 00:00:03,7,2,0 days 00:00:07.428000
60,2019-12-02 22:45:11.011000+00:00,2019-12-02 22:45:56.171000+00:00,0 days 00:00:45.160000,0 days 00:00:03,7,3,0 days 00:00:39.858000
61,2019-12-02 22:45:56.171000+00:00,2019-12-02 22:46:02.215000+00:00,0 days 00:00:06.044000,0 days 00:00:03,7,4,0 days 00:00:00.614000
62,2019-12-02 22:46:02.215000+00:00,2019-12-02 22:46:08.223000+00:00,0 days 00:00:06.008000,0 days 00:00:03,7,5,0 days 00:00:01.666000
63,2019-12-02 22:46:08.223000+00:00,2019-12-02 22:46:14.233000+00:00,0 days 00:00:06.010000,0 days 00:00:03,7,6,0 days 00:00:01.863000
64,2019-12-02 22:46:14.233000+00:00,2019-12-02 22:46:26.241000+00:00,0 days 00:00:12.008000,0 days 00:00:03,7,7,0 days 00:00:07.543000
65,2019-12-02 22:46:26.241000+00:00,2019-12-02 22:46:35.285000+00:00,0 days 00:00:09.044000,0 days 00:00:02.700000,8,0,0 days 00:00:04.412000
66,2019-12-02 22:46:35.285000+00:00,2019-12-02 22:46:43.425000+00:00,0 days 00:00:08.140000,0 days 00:00:02.700000,8,1,0 days 00:00:04.135000
67,2019-12-02 22:46:43.425000+00:00,2019-12-02 22:47:02.369000+00:00,0 days 00:00:18.944000,0 days 00:00:02.700000,8,2,0 days 00:00:13.880000
68,2019-12-02 22:47:02.369000+00:00,2019-12-02 22:47:10.506000+00:00,0 days 00:00:08.137000,0 days 00:00:02.700000,8,3,0 days 00:00:04.801000
69,2019-12-02 22:47:10.506000+00:00,2019-12-02 22:47:18.638000+00:00,0 days 00:00:08.132000,0 days 00:00:02.700000,8,4,0 days 00:00:03.087000
70,2019-12-02 22:47:18.638000+00:00,2019-12-02 22:47:29.473000+00:00,0 days 00:00:10.835000,0 days 00:00:02.700000,8,5,0 days 00:00:05.837000
71,2019-12-02 22:47:29.473000+00:00,2019-12-02 22:47:37.613000+00:00,0 days 00:00:08.140000,0 days 00:00:02.700000,8,6,0 days 00:00:04.034000
72,2019-12-02 22:47:37.613000+00:00,2019-12-02 22:47:45.754000+00:00,0 days 00:00:08.141000,0 days 00:00:02.700000,8,7,0 days 00:00:03.860000
73,2019-12-02 22:47:45.754000+00:00,2019-12-02 22:47:53.892000+00:00,0 days 00:00:08.138000,0 days 00:00:02.700000,8,8,0 days 00:00:03.517000
74,2019-12-02 22:47:53.892000+00:00,2019-12-02 22:48:02.030000+00:00,0 days 00:00:08.138000,0 days 00:00:02.700000,8,9,0 days 00:00:03.835000
75,2019-12-02 22:48:02.030000+00:00,2019-12-02 22:48:10.168000+00:00,0 days 00:00:08.138000,0 days 00:00:02.700000,8,10,0 days 00:00:04.145000
76,2019-12-02 22:48:10.168000+00:00,2019-12-02 22:48:15.600000+00:00,0 days 00:00:05.432000,0 days 00:00:02.700000,8,11,0 days 00:00:01.192000
77,2019-12-02 22:48:15.600000+00:00,2019-12-02 22:48:23.707000+00:00,0 days 00:00:08.107000,0 days 00:00:00.600000,9,0,0 days 00:00:04.326000
78,2019-12-02 22:48:23.707000+00:00,2019-12-02 22:48:27.341000+00:00,0 days 00:00:03.634000,0 days 00:00:00.600000,9,1,0 days 00:00:02.927000
79,2019-12-02 22:48:27.341000+00:00,2019-12-02 22:48:35.155000+00:00,0 days 00:00:07.814000,0 days 00:00:00.600000,9,2,0 days 00:00:06.856000
80,2019-12-02 22:48:35.155000+00:00,2019-12-02 22:48:40.591000+00:00,0 days 00:00:05.436000,0 days 00:00:00.600000,9,3,0 days 00:00:04.327000
81,2019-12-02 22:48:40.591000+00:00,2019-12-02 22:48:44.199000+00:00,0 days 00:00:03.608000,0 days 00:00:00.600000,9,4,0 days 00:00:02.959000
82,2019-12-02 22:48:44.199000+00:00,2019-12-02 22:48:49.608000+00:00,0 days 00:00:05.409000,0 days 00:00:00.600000,9,5,0 days 00:00:04.555000
83,2019-12-02 22:48:49.608000+00:00,2019-12-02 22:48:57.420000+00:00,0 days 00:00:07.812000,0 days 00:00:00.600000,9,6,0 days 00:00:07.107000
